"Element"	"ionState"	"Ei"	"gi"
"Cm"	"II"	0	8
"U"	"II"	0	10
"Ra"	"II"	0	2
"Ra"	"II"	1.49825879	4
"Ra"	"II"	1.703914	6
"Ra"	"II"	2.64722703	2
"Ra"	"II"	3.2494837	4
"Ra"	"II"	5.38154	2
"Ra"	"II"	6.043491	4
"Ra"	"II"	6.10504	6
"Ra"	"II"	6.073721	6
"Ra"	"II"	6.108967	8
"Ra"	"II"	6.27438	2
"Ra"	"II"	6.495783	4
"Ra"	"II"	7.33556	2
"Ra"	"II"	7.3792	6
"Ra"	"II"	7.416	8
"Ra"	"II"	7.65416	4
"Ra"	"II"	7.68377	6
"Ra"	"II"	7.86189	4
"Ra"	"II"	7.953647	18
"Ra"	"II"	8.24766	6
"Ra"	"II"	8.26865	8
"Ra"	"II"	8.28695	2
"Ra"	"II"	8.46367	4
"Ra"	"II"	8.47988	6
"Ra"	"II"	8.62443	18
"Ra"	"II"	8.82431	2
"Ra"	"II"	8.93223	4
"Ra"	"II"	8.9422	6
"Ra"	"II"	9.029051	18
"Ra"	"II"	9.22868	4
"Ra"	"II"	9.2355	6
"Ra"	"II"	9.29159	18
"Ra"	"II"	9.4328	6
"Ra"	"II"	9.47151	18
"Ra"	"II"	9.60025	18
"Ra"	"II"	9.69496	18
"Po"	"II"	0	4
"Hg"	"II"	0	2
"Hg"	"II"	4.40325219	6
"Hg"	"II"	6.2680915	4
"Hg"	"II"	6.3834591	2
"Hg"	"II"	7.5144792	4
"Hg"	"II"	9.882193	6
"Hg"	"II"	10.4410074	8
"Hg"	"II"	10.5183412	6
"Hg"	"II"	10.6847695	4
"Hg"	"II"	11.299859	10
"Hg"	"II"	11.666025	4
"Hg"	"II"	11.8017287	8
"Hg"	"II"	11.8162072	6
"Hg"	"II"	11.925784	2
"Hg"	"II"	11.8670739	2
"Hg"	"II"	12.0383417	4
"Hg"	"II"	12.505216	6
"Hg"	"II"	12.7931699	4
"Hg"	"II"	12.8786481	2
"Hg"	"II"	13.0163742	4
"Hg"	"II"	13.0857934	6
"Hg"	"II"	13.1529893	4
"Hg"	"II"	13.168989	8
"Hg"	"II"	13.5112688	6
"Hg"	"II"	13.179446	2
"Hg"	"II"	13.538039	4
"Hg"	"II"	13.7132037	8
"Hg"	"II"	13.7838307	6
"Hg"	"II"	13.4272634	2
"Hg"	"II"	13.8826922	4
"Hg"	"II"	15.0537431	2
"Hg"	"II"	15.09554	2
"Hg"	"II"	15.1211623	6
"Hg"	"II"	15.4502653	4
"Hg"	"II"	15.2691221	8
"Hg"	"II"	15.3010574	6
"Hg"	"II"	15.5383855	4
"Hg"	"II"	15.5698905	6
"Hg"	"II"	15.7387828	2
"Hg"	"II"	15.8446203	4
"Hg"	"II"	16.4354135	2
"Hg"	"II"	16.5233152	8
"Hg"	"II"	16.525088	6
"Hg"	"II"	16.571093	10
"Hg"	"II"	16.5710973	8
"Hg"	"II"	16.6836676	4
"Hg"	"II"	16.7006053	6
"Hg"	"II"	16.7753844	8
"Hg"	"II"	16.9503903	6
"Hg"	"II"	16.8383587	4
"Hg"	"II"	17.163713	2
"Hg"	"II"	17.2084589	8
"Hg"	"II"	17.2107079	6
"Hg"	"II"	17.2240553	4
"Hg"	"II"	17.3747902	6
"Hg"	"II"	17.2393235	8
"Hg"	"II"	17.2393239	10
"Hg"	"II"	17.311547	4
"Hg"	"II"	17.3191429	6
"Hg"	"II"	17.594878	2
"Hg"	"II"	17.6216852	8
"Hg"	"II"	17.6223884	6
"Hg"	"II"	17.6423034	8
"Hg"	"II"	17.6423088	10
"Hg"	"II"	17.6876201	4
"Hg"	"II"	17.6940591	6
"Hg"	"II"	17.9037534	10
"Hg"	"II"	17.9037973	8
"Hg"	"II"	17.9231329	4
"Hg"	"II"	17.9305154	10
"Hg"	"II"	18.0842477	6
"Hg"	"II"	18.0977621	8
"Hg"	"II"	17.93477	4
"Hg"	"II"	17.9388997	6
"Hg"	"II"	17.9667648	4
"Hg"	"II"	17.9989795	6
"Hg"	"II"	18.008263	2
"Hg"	"II"	18.1094809	12
"Hg"	"II"	18.1643892	8
"Hg"	"II"	18.1919495	10
"Hg"	"II"	18.0830078	8
"Hg"	"II"	18.083049	10
"Hg"	"II"	18.1825633	6
"Hg"	"II"	18.366193	2
"Hg"	"II"	18.377245	4
"Hg"	"II"	18.45143	6
"Hg"	"II"	18.53499	6
"Hg"	"II"	18.552199	8
"Hg"	"II"	18.64239	6
"Hg"	"II"	20.49896	4
"Hg"	"II"	18.852244	8
"Hg"	"II"	19.25337	6
"Hg"	"II"	18.96723	4
"Hg"	"II"	19.50612	6
"Hg"	"II"	19.0646	4
"Hg"	"II"	19.577789	10
"Hg"	"II"	19.58023	6
"Hg"	"II"	19.640169	8
"Hg"	"II"	19.67087	6
"Hg"	"II"	20.02427	4
"Hg"	"II"	19.978504	6
"Hg"	"II"	20.090809	6
"Hg"	"II"	20.40978	4
"Hg"	"II"	20.447067	8
"Hg"	"II"	20.4909452	14
"Hg"	"II"	20.5394161	12
"Hg"	"II"	20.5442186	10
"Hg"	"II"	20.499118	12
"Hg"	"II"	20.5405524	10
"Hg"	"II"	20.5729123	8
"Hg"	"II"	20.53706	4
"Hg"	"II"	20.968795	8
"Hg"	"II"	21.17788	6
"Hg"	"II"	21.62607	4
"Os"	"II"	0	10
"Os"	"II"	0.445494	8
"Os"	"II"	0.487126	6
"Os"	"II"	0.693326	4
"Os"	"II"	0.82283	2
"Os"	"II"	0.978475	6
"Os"	"II"	1.420847	8
"Os"	"II"	1.444922	6
"Os"	"II"	1.628732	4
"Os"	"II"	1.637072	8
"Os"	"II"	1.663223	6
"Os"	"II"	1.934845	10
"Os"	"II"	2.137768	8
"Os"	"II"	2.160349	4
"Os"	"II"	2.178328	6
"Os"	"II"	2.193112	12
"Os"	"II"	2.428963	6
"Os"	"II"	2.47794	8
"Os"	"II"	2.676919	10
"Os"	"II"	3.033355	6
"Os"	"II"	3.097216	8
"Os"	"II"	3.155662	6
"Os"	"II"	4.62728	6
"Os"	"II"	4.883674	8
"Os"	"II"	5.4308	8
"Os"	"II"	5.494409	10
"Os"	"II"	5.722762	4
"Os"	"II"	5.749582	6
"Os"	"II"	5.967121	2
"Os"	"II"	6.050268	6
"Os"	"II"	6.093748	8
"Os"	"II"	6.441179	10
"Os"	"II"	6.472779	8
"Os"	"II"	6.74217	8
"Os"	"II"	6.750343	6
"Os"	"II"	6.885915	6
"Os"	"II"	6.897975	4
"Os"	"II"	7.04123	8
"Os"	"II"	7.117014	8
"Hf"	"II"	0	4
"Hf"	"II"	0.378261	6
"Hf"	"II"	0.451879	4
"Hf"	"II"	0.608124	6
"Hf"	"II"	0.786598	8
"Hf"	"II"	1.036726	10
"Hf"	"II"	1.481822	2
"Hf"	"II"	1.601992	4
"Hf"	"II"	1.671996	6
"Hf"	"II"	1.496546	6
"Hf"	"II"	1.87021	8
"Hf"	"II"	1.780341	4
"Hf"	"II"	2.153465	6
"Hf"	"II"	1.891291	2
"Hf"	"II"	2.21068	4
"Hf"	"II"	2.155969	10
"Hf"	"II"	2.195849	8
"Hf"	"II"	2.343009	4
"Hf"	"II"	2.496414	6
"Hf"	"II"	2.682766	8
"Hf"	"II"	2.869685	10
"Hf"	"II"	3.347141	2
"Hf"	"II"	3.382925	4
"Hf"	"II"	3.539383	6
"Hf"	"II"	3.480086	4
"Hf"	"II"	3.64577	6
"Hf"	"II"	4.18772	8
"Hf"	"II"	4.73442	10
"Hf"	"II"	3.484555	10
"Hf"	"II"	3.528362	8
"Hf"	"II"	3.615384	2
"Hf"	"II"	3.940734	4
"Hf"	"II"	4.259493	6
"Hf"	"II"	4.572846	8
"Hf"	"II"	3.793251	4
"Hf"	"II"	4.063974	6
"Hf"	"II"	3.836315	12
"Hf"	"II"	3.952336	10
"Hf"	"II"	4.108365	2
"Hf"	"II"	4.509729	4
"Hf"	"II"	4.11391	6
"Hf"	"II"	4.230828	4
"Hf"	"II"	4.3323	6
"Hf"	"II"	4.773209	8
"Hf"	"II"	5.255825	10
"Hf"	"II"	5.729192	12
"Hf"	"II"	4.357639	2
"Hf"	"II"	4.627613	4
"Hf"	"II"	4.636816	6
"Hf"	"II"	4.641926	8
"Hf"	"II"	4.697253	4
"Hf"	"II"	5.177734	6
"Hf"	"II"	4.760815	2
"Hf"	"II"	4.863461	4
"Hf"	"II"	5.022211	6
"Hf"	"II"	4.783141	6
"Hf"	"II"	5.133796	8
"Hf"	"II"	5.271573	4
"Hf"	"II"	5.415723	6
"Hf"	"II"	5.504893	8
"Hf"	"II"	5.718758	10
"Hf"	"II"	5.302874	4
"Hf"	"II"	5.336808	2
"Hf"	"II"	5.442976	6
"Hf"	"II"	5.540943	8
"Hf"	"II"	5.659042	2
"Hf"	"II"	5.786883	4
"Hf"	"II"	5.939387	6
"Hf"	"II"	6.06664	8
"Hf"	"II"	5.764691	2
"Hf"	"II"	5.846794	8
"Hf"	"II"	6.179431	10
"Hf"	"II"	5.947963	4
"Hf"	"II"	6.075925	6
"Hf"	"II"	5.950805	4
"Hf"	"II"	6.25122	4
"Hf"	"II"	6.312064	6
"Hf"	"II"	6.489324	8
"Hf"	"II"	6.339757	4
"Hf"	"II"	6.534288	6
"Hf"	"II"	6.45913	2
"Hf"	"II"	6.536132	4
"Hf"	"II"	6.781133	6
"Hf"	"II"	7.246654	8
"Hf"	"II"	6.47256	6
"Hf"	"II"	6.59934	8
"Hf"	"II"	6.55227	2
"Hf"	"II"	6.82868	4
"Hf"	"II"	6.61214	2
"Hf"	"II"	6.632423	4
"Hf"	"II"	6.826613	6
"Hf"	"II"	6.638879	10
"Hf"	"II"	7.013986	12
"Hf"	"II"	6.691732	8
"Hf"	"II"	6.898332	10
"Hf"	"II"	6.985981	4
"Hf"	"II"	7.12631	2
"Hf"	"II"	7.20564	6
"Hf"	"II"	7.6025	4
"Hf"	"II"	8.01733	6
"Hf"	"II"	7.7831	6
"Hf"	"II"	7.9898	8
"Hf"	"II"	8.13881	6
"Hf"	"II"	8.59337	4
"Hf"	"II"	8.61484	6
"Hf"	"II"	8.67434	4
"Hf"	"II"	8.76147	6
"Hf"	"II"	8.94659	4
"Hf"	"II"	9.0691	4
"Hf"	"II"	9.13331	6
"Hf"	"II"	9.31843	4
"Hf"	"II"	9.39814	6
"Hf"	"II"	9.42483	4
"Hf"	"II"	9.49533	6
"Hf"	"II"	9.56701	4
"Hf"	"II"	9.58576	8
"Hf"	"II"	9.806	6
"Hf"	"II"	9.89448	8
"Hf"	"II"	10.04903	10
"Hf"	"II"	10.17916	10
"Hf"	"II"	10.30678	10
"Er"	"II"	0	14
"Er"	"II"	0.0546069	12
"Er"	"II"	0.6363623	10
"Er"	"II"	0.6699719	8
"Er"	"II"	0.8461641	16
"Er"	"II"	1.6537976	14
"Er"	"II"	2.1013086	12
"Er"	"II"	0.8864411	12
"Er"	"II"	0.8921103	10
"Er"	"II"	1.3225625	14
"Er"	"II"	1.3506759	8
"Er"	"II"	1.3691129	10
"Er"	"II"	1.4021596	16
"Er"	"II"	1.5359274	12
"Er"	"II"	1.5607128	8
"Er"	"II"	1.5622124	6
"Er"	"II"	1.5888659	20
"Er"	"II"	1.6152571	18
"Er"	"II"	1.6193223	14
"Er"	"II"	1.6351615	4
"Er"	"II"	1.681019	6
"Er"	"II"	1.6827282	22
"Er"	"II"	1.7010116	18
"Er"	"II"	1.770584	16
"Er"	"II"	1.8162789	20
"Er"	"II"	1.9506331	18
"Er"	"II"	2.0136705	10
"Er"	"II"	2.0424997	16
"Er"	"II"	2.049386	12
"Er"	"II"	2.0522944	10
"Er"	"II"	2.3082752	16
"Er"	"II"	2.34195	12
"Er"	"II"	2.5699507	14
"Er"	"II"	2.0634984	14
"Er"	"II"	2.0997756	20
"Er"	"II"	2.1156335	12
"Er"	"II"	2.1547111	14
"Er"	"II"	2.2122106	18
"Er"	"II"	2.2891633	16
"Er"	"II"	2.3932462	18
"Er"	"II"	2.4676708	8
"Er"	"II"	2.6697707	16
"Er"	"II"	2.6901908	12
"Er"	"II"	2.7145169	10
"Er"	"II"	2.7451782	14
"Er"	"II"	2.4022663	16
"Er"	"II"	2.4309228	18
"Er"	"II"	2.4698412	10
"Er"	"II"	2.4788031	12
"Er"	"II"	2.5193507	14
"Er"	"II"	2.5438727	16
"Er"	"II"	2.6041715	14
"Er"	"II"	2.6086277	12
"Er"	"II"	2.6816739	18
"Er"	"II"	2.6851048	12
"Er"	"II"	2.7053245	12
"Er"	"II"	2.7425858	14
"Er"	"II"	2.7524511	16
"Er"	"II"	2.834218	14
"Er"	"II"	2.8814732	12
"Er"	"II"	2.9185511	18
"Er"	"II"	2.9345939	14
"Er"	"II"	2.9533441	12
"Er"	"II"	2.9611173	6
"Er"	"II"	2.9709562	8
"Er"	"II"	3.0454596	10
"Er"	"II"	3.0679932	12
"Er"	"II"	2.9723819	16
"Er"	"II"	2.982256	18
"Er"	"II"	3.0271071	12
"Er"	"II"	3.0290632	16
"Er"	"II"	3.0608628	12
"Er"	"II"	3.0634156	20
"Er"	"II"	3.091652	14
"Er"	"II"	3.1047215	8
"Er"	"II"	3.1470139	12
"Er"	"II"	3.1656082	14
"Er"	"II"	3.1723063	12
"Er"	"II"	3.1730461	12
"Er"	"II"	3.2358601	14
"Er"	"II"	3.1745244	14
"Er"	"II"	3.2200526	12
"Er"	"II"	3.2231148	10
"Er"	"II"	3.2398441	10
"Er"	"II"	3.2731549	12
"Er"	"II"	3.2749744	14
"Er"	"II"	3.3189505	14
"Er"	"II"	3.323452	12
"Er"	"II"	3.3412624	8
"Er"	"II"	3.4039259	10
"Er"	"II"	3.4112461	14
"Er"	"II"	3.414549	12
"Er"	"II"	3.4230779	10
"Er"	"II"	3.4272528	12
"Er"	"II"	3.4580048	10
"Er"	"II"	3.4818112	14
"Er"	"II"	3.5163637	12
"Er"	"II"	3.5969074	10
"Er"	"II"	3.6565828	12
"Er"	"II"	3.6749986	16
"Er"	"II"	3.7965328	14
"Er"	"II"	3.610371	14
"Er"	"II"	3.6281994	8
"Er"	"II"	3.6541601	16
"Er"	"II"	3.673454	14
"Er"	"II"	3.6923202	8
"Er"	"II"	3.6927123	10
"Er"	"II"	3.7020118	12
"Er"	"II"	3.7061815	14
"Er"	"II"	3.716105	16
"Er"	"II"	3.7205589	14
"Er"	"II"	3.7230741	10
"Er"	"II"	3.7347684	12
"Er"	"II"	3.7357384	8
"Er"	"II"	3.7390835	12
"Er"	"II"	3.7589497	10
"Er"	"II"	3.8304232	8
"Er"	"II"	3.8276932	10
"Er"	"II"	3.8332735	10
"Er"	"II"	3.8821956	8
"Er"	"II"	3.8908447	10
"Er"	"II"	3.8913268	12
"Er"	"II"	3.8953952	14
"Er"	"II"	3.9428341	12
"Er"	"II"	3.9481682	10
"Er"	"II"	3.9554285	8
"Er"	"II"	3.9735385	16
"Er"	"II"	3.9765898	12
"Er"	"II"	4.0006286	10
"Er"	"II"	4.0298187	10
"Er"	"II"	4.0330077	14
"Er"	"II"	4.0442099	12
"Er"	"II"	4.0609125	10
"Er"	"II"	4.0654524	8
"Er"	"II"	4.0680463	12
"Er"	"II"	4.0786302	10
"Er"	"II"	4.1045631	12
"Er"	"II"	4.0930275	14
"Er"	"II"	4.094999	10
"Er"	"II"	4.1075856	10
"Er"	"II"	4.1184079	18
"Er"	"II"	4.1593311	16
"Er"	"II"	4.1849527	14
"Er"	"II"	4.129587	10
"Er"	"II"	4.1583399	8
"Er"	"II"	4.1616406	10
"Er"	"II"	4.1720638	10
"Er"	"II"	4.1732506	12
"Er"	"II"	4.1750749	14
"Er"	"II"	4.1809387	12
"Er"	"II"	4.1912195	10
"Er"	"II"	4.2140123	12
"Er"	"II"	4.2247461	10
"Er"	"II"	4.2338325	8
"Er"	"II"	4.2398118	10
"Er"	"II"	4.2406627	8
"Er"	"II"	4.2578171	12
"Er"	"II"	4.2647022	10
"Er"	"II"	4.2830649	14
"Er"	"II"	4.2852977	12
"Er"	"II"	4.2990495	10
"Er"	"II"	4.3273365	8
"Er"	"II"	4.3360296	12
"Er"	"II"	4.3473685	10
"Er"	"II"	4.3661639	12
"Er"	"II"	4.3737324	14
"Er"	"II"	4.384067	8
"Er"	"II"	4.4160575	12
"Er"	"II"	4.4227146	14
"Er"	"II"	4.4411064	8
"Er"	"II"	4.4481914	10
"Er"	"II"	4.4492017	12
"Er"	"II"	4.4509375	10
"Er"	"II"	4.4544552	8
"Er"	"II"	4.4643216	10
"Er"	"II"	4.4817447	12
"Er"	"II"	4.4872617	20
"Er"	"II"	4.5702511	18
"Er"	"II"	4.6272179	16
"Er"	"II"	4.6660356	14
"Er"	"II"	4.6704302	12
"Er"	"II"	4.5033829	10
"Er"	"II"	4.5209608	4
"Er"	"II"	4.5218208	8
"Er"	"II"	4.5219497	8
"Er"	"II"	4.5431817	12
"Er"	"II"	4.5549621	8
"Er"	"II"	4.5578017	10
"Er"	"II"	4.5657422	8
"Er"	"II"	4.5705451	12
"Er"	"II"	4.5790183	6
"Er"	"II"	4.5922215	10
"Er"	"II"	4.5945722	8
"Er"	"II"	4.5996843	12
"Er"	"II"	4.6011034	10
"Er"	"II"	4.6031555	6
"Er"	"II"	4.6056006	12
"Er"	"II"	4.6317252	4
"Er"	"II"	4.6418018	10
"Er"	"II"	4.6473109	10
"Er"	"II"	4.6527747	8
"Er"	"II"	4.6639226	10
"Er"	"II"	4.6740584	8
"Er"	"II"	4.6756931	6
"Er"	"II"	4.6787383	10
"Er"	"II"	4.6801478	8
"Er"	"II"	4.7063936	10
"Er"	"II"	4.7367526	6
"Er"	"II"	4.749957	12
"Er"	"II"	4.7508518	8
"Er"	"II"	4.7565067	10
"Er"	"II"	4.7657531	12
"Er"	"II"	4.7697404	4
"Er"	"II"	4.7706403	10
"Er"	"II"	4.7834237	6
"Er"	"II"	4.7879406	6
"Er"	"II"	4.7910661	12
"Er"	"II"	4.7922142	8
"Er"	"II"	4.8164372	10
"Er"	"II"	4.816461	14
"Er"	"II"	4.8380551	8
"Er"	"II"	4.8399268	6
"Er"	"II"	4.8419627	8
"Er"	"II"	4.84566	14
"Er"	"II"	4.8528111	8
"Er"	"II"	4.8653981	12
"Er"	"II"	4.8698024	8
"Er"	"II"	4.873193	8
"Er"	"II"	4.8840133	10
"Er"	"II"	4.8909174	6
"Er"	"II"	4.8985329	10
"Er"	"II"	4.9005617	12
"Er"	"II"	4.9151253	6
"Er"	"II"	4.9164466	10
"Er"	"II"	4.9304111	12
"Er"	"II"	4.9350948	16
"Er"	"II"	4.93873	4
"Er"	"II"	4.9401846	10
"Er"	"II"	4.9534721	14
"Er"	"II"	4.9563183	8
"Er"	"II"	4.9586279	16
"Er"	"II"	4.9594639	10
"Er"	"II"	4.974455	14
"Er"	"II"	4.9747177	6
"Er"	"II"	4.9747519	12
"Er"	"II"	4.9969943	10
"Er"	"II"	5.0051089	6
"Er"	"II"	5.0133773	12
"Er"	"II"	5.0149017	20
"Er"	"II"	5.0209975	10
"Er"	"II"	5.027212	18
"Er"	"II"	5.0390848	6
"Er"	"II"	5.0446003	4
"Er"	"II"	5.0491026	6
"Er"	"II"	5.0520007	8
"Er"	"II"	5.0531958	12
"Er"	"II"	5.0652442	10
"Er"	"II"	5.0716811	10
"Er"	"II"	5.0763504	8
"Er"	"II"	5.0783726	10
"Er"	"II"	5.0838143	4
"Er"	"II"	5.0850599	6
"Er"	"II"	5.0869859	8
"Er"	"II"	5.091709	10
"Er"	"II"	5.1044932	10
"Er"	"II"	5.1050128	16
"Er"	"II"	5.1090048	8
"Er"	"II"	5.1136539	18
"Er"	"II"	5.1166568	10
"Er"	"II"	5.1348818	12
"Er"	"II"	5.1437106	10
"Er"	"II"	5.1460527	8
"Er"	"II"	5.1599486	10
"Er"	"II"	5.1679616	6
"Er"	"II"	5.191978	8
"Er"	"II"	5.2153737	6
"Er"	"II"	5.2258839	8
"Er"	"II"	5.2293536	6
"Er"	"II"	5.2401076	6
"Er"	"II"	5.2587706	8
"Er"	"II"	5.2645015	8
"Er"	"II"	5.2727154	8
"Er"	"II"	5.2850256	8
"Er"	"II"	5.2880246	4
"Er"	"II"	5.300036	6
"Er"	"II"	5.3027416	8
"Er"	"II"	5.3143041	4
"Er"	"II"	5.3297649	12
"Er"	"II"	5.3441352	14
"Er"	"II"	5.3514056	6
"Er"	"II"	5.357662	10
"Er"	"II"	5.3588029	10
"Er"	"II"	5.358987	16
"Er"	"II"	5.365235	12
"Er"	"II"	5.3688536	8
"Er"	"II"	5.3709313	14
"Er"	"II"	5.3826149	20
"Er"	"II"	5.3884528	10
"Er"	"II"	5.3960655	16
"Er"	"II"	5.3999377	6
"Er"	"II"	5.410478	12
"Er"	"II"	5.4212051	14
"Er"	"II"	5.4460173	8
"Er"	"II"	5.4465557	4
"Er"	"II"	5.447855	8
"Er"	"II"	5.4525338	20
"Er"	"II"	5.4736634	8
"Er"	"II"	5.4754091	4
"Er"	"II"	5.4844752	18
"Er"	"II"	5.4879345	16
"Er"	"II"	5.5569991	18
"Er"	"II"	5.5605126	4
"Er"	"II"	5.5694205	14
"Er"	"II"	5.5737246	16
"Er"	"II"	5.5806582	8
"Er"	"II"	5.6146329	18
"Er"	"II"	5.6377505	18
"Er"	"II"	5.6486665	12
"Er"	"II"	5.6909962	10
"Er"	"II"	5.7165379	14
"Er"	"II"	5.7356092	16
"Er"	"II"	5.7684742	12
"Er"	"II"	5.7727805	22
"Er"	"II"	5.7971776	16
"Er"	"II"	5.7972259	20
"Er"	"II"	5.8167819	18
"Er"	"II"	5.833557	14
"Er"	"II"	5.8473842	16
"Er"	"II"	5.8488644	18
"Er"	"II"	5.8801537	20
"Er"	"II"	5.8851541	16
"Er"	"II"	5.9248206	20
"Er"	"II"	5.9315233	14
"Er"	"II"	5.9323482	12
"Er"	"II"	5.9700112	16
"Er"	"II"	6.0164158	14
"Er"	"II"	6.0265515	10
"Er"	"II"	6.035085	18
"Er"	"II"	6.0490636	20
"Er"	"II"	6.0759673	14
"Er"	"II"	6.0865204	14
"Er"	"II"	6.1221234	16
"Er"	"II"	6.1570834	16
"Er"	"II"	6.2135504	14
"Er"	"II"	6.229759	16
"Er"	"II"	6.2472875	12
"Er"	"II"	6.2552456	16
"Er"	"II"	6.2559608	14
"Er"	"II"	6.3046393	14
"Er"	"II"	6.324485	16
"Er"	"II"	6.3278637	12
"Er"	"II"	6.3360725	16
"Er"	"II"	6.3944646	14
"Er"	"II"	6.3984106	16
"Er"	"II"	6.4779176	14
"Er"	"II"	6.4958833	18
"Er"	"II"	6.5706831	16
"Er"	"II"	6.6817268	14
"Er"	"II"	6.7431602	14
"Er"	"II"	6.8583523	16
"Gd"	"II"	0	6
"Gd"	"II"	0.0324641	8
"Gd"	"II"	0.0785158	10
"Gd"	"II"	0.1436906	12
"Gd"	"II"	0.2399479	14
"Gd"	"II"	0.3541829	4
"Gd"	"II"	0.3821207	6
"Gd"	"II"	0.4249278	8
"Gd"	"II"	0.4924859	10
"Gd"	"II"	0.6002206	12
"Gd"	"II"	0.4270307	8
"Gd"	"II"	0.4993043	4
"Gd"	"II"	0.5223152	6
"Gd"	"II"	0.555927	8
"Gd"	"II"	0.601609	10
"Gd"	"II"	0.6620108	12
"Gd"	"II"	0.7311675	14
"Gd"	"II"	0.8189347	16
"Gd"	"II"	0.9909149	14
"Gd"	"II"	1.1273252	12
"Gd"	"II"	1.2761157	10
"Gd"	"II"	1.3742824	8
"Gd"	"II"	1.4468786	6
"Gd"	"II"	1.4967097	4
"Gd"	"II"	1.5261845	2
"Gd"	"II"	1.060195	12
"Gd"	"II"	1.1015759	10
"Gd"	"II"	1.1335756	8
"Gd"	"II"	1.1566317	6
"Gd"	"II"	1.1718611	4
"Gd"	"II"	1.2328715	12
"Gd"	"II"	1.4064179	10
"Gd"	"II"	1.5272731	8
"Gd"	"II"	1.6156116	6
"Gd"	"II"	1.6756699	4
"Gd"	"II"	1.7110247	2
"Gd"	"II"	1.2511948	10
"Gd"	"II"	1.2884176	8
"Gd"	"II"	1.3183343	6
"Gd"	"II"	1.3393543	4
"Gd"	"II"	1.3524473	2
"Gd"	"II"	1.3142006	8
"Gd"	"II"	1.3721164	10
"Gd"	"II"	1.4248517	12
"Gd"	"II"	1.569911	2
"Gd"	"II"	1.5750271	4
"Gd"	"II"	1.5840304	6
"Gd"	"II"	1.5983661	8
"Gd"	"II"	1.6212236	10
"Gd"	"II"	1.6586576	12
"Gd"	"II"	1.726571	14
"Gd"	"II"	2.1976264	12
"Gd"	"II"	2.2090417	10
"Gd"	"II"	2.2155825	8
"Gd"	"II"	2.2281938	6
"Gd"	"II"	2.230179	2
"Gd"	"II"	2.231877	4
"Gd"	"II"	2.2435815	6
"Gd"	"II"	2.2503922	8
"Gd"	"II"	2.2712962	10
"Gd"	"II"	2.3112337	12
"Gd"	"II"	2.3156485	14
"Gd"	"II"	2.3250799	16
"Gd"	"II"	2.2771997	16
"Gd"	"II"	2.2799606	14
"Gd"	"II"	2.3172766	12
"Gd"	"II"	2.4024417	10
"Gd"	"II"	2.4918684	8
"Gd"	"II"	2.5579292	6
"Gd"	"II"	2.6043991	4
"Gd"	"II"	2.6318896	2
"Gd"	"II"	2.2775062	4
"Gd"	"II"	2.3501267	6
"Gd"	"II"	2.3833739	8
"Gd"	"II"	2.4055386	10
"Gd"	"II"	2.4487017	12
"Gd"	"II"	2.4730849	10
"Gd"	"II"	2.4855539	8
"Gd"	"II"	2.507936	6
"Gd"	"II"	2.525466	4
"Gd"	"II"	2.535929	2
"Gd"	"II"	2.4912449	12
"Gd"	"II"	2.5508711	10
"Gd"	"II"	2.6489129	8
"Gd"	"II"	2.9381033	6
"Gd"	"II"	2.9423879	4
"Gd"	"II"	2.6231952	14
"Gd"	"II"	2.7353896	6
"Gd"	"II"	2.7937496	12
"Gd"	"II"	2.8116293	4
"Gd"	"II"	2.8547711	10
"Gd"	"II"	2.8833543	2
"Gd"	"II"	2.9102929	8
"Gd"	"II"	2.7935239	18
"Gd"	"II"	2.885154	16
"Gd"	"II"	2.9719233	14
"Gd"	"II"	3.0410896	12
"Gd"	"II"	3.0812891	10
"Gd"	"II"	3.120331	8
"Gd"	"II"	3.1496973	6
"Gd"	"II"	3.1703625	4
"Gd"	"II"	2.9896677	8
"Gd"	"II"	3.0737555	6
"Gd"	"II"	3.09537	4
"Gd"	"II"	3.0267872	12
"Gd"	"II"	3.1539516	10
"Gd"	"II"	3.2698341	8
"Gd"	"II"	3.3637405	6
"Gd"	"II"	3.4296776	4
"Gd"	"II"	3.4703094	2
"Gd"	"II"	3.1339654	14
"Gd"	"II"	3.3029218	12
"Gd"	"II"	3.4152687	10
"Gd"	"II"	3.4988549	8
"Gd"	"II"	3.5695191	6
"Gd"	"II"	3.6137623	4
"Gd"	"II"	3.1619145	16
"Gd"	"II"	3.3390931	14
"Gd"	"II"	3.4869689	12
"Gd"	"II"	3.5802421	10
"Gd"	"II"	3.6472487	8
"Gd"	"II"	3.6971798	6
"Gd"	"II"	3.1751174	10
"Gd"	"II"	3.3993556	8
"Gd"	"II"	3.5495457	6
"Gd"	"II"	3.1825122	8
"Gd"	"II"	3.2800573	10
"Gd"	"II"	3.5338363	12
"Gd"	"II"	3.2186388	4
"Gd"	"II"	3.2498629	6
"Gd"	"II"	3.2973873	8
"Gd"	"II"	3.3676866	10
"Gd"	"II"	3.4547619	12
"Gd"	"II"	3.6393508	14
"Gd"	"II"	3.8615686	16
"Gd"	"II"	3.2672027	10
"Gd"	"II"	3.3814837	8
"Gd"	"II"	3.3844885	6
"Gd"	"II"	3.4700789	8
"Gd"	"II"	3.6011571	10
"Gd"	"II"	3.7650056	12
"Gd"	"II"	3.8431197	14
"Gd"	"II"	3.5264477	10
